2025-09-13 15:59:05 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_registration_and_login_flow
2025-09-13 15:59:05 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:59:12 | INFO | utils.logger:data_operation:129 | 📊 Data Operation: Generated test user data (User)
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/login'
2025-09-13 15:59:18 | INFO | utils.logger:step:86 | 🔸 STEP: Opened login page
2025-09-13 15:59:18 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying login page loaded
2025-09-13 15:59:18 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 15:59:18 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 15:59:18 | INFO | utils.logger:step:86 | 🔸 STEP: Signing up new user: 柳 Larson
2025-09-13 15:59:18 | INFO | utils.logger:step:86 | 🔸 STEP: Filling signup form with name: 柳 Larson, email: palmerrichard@example.net
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-name']''
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-name']' text='柳 Larson''
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-email']''
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-email']' text='palmerrichard@example.net''
2025-09-13 15:59:18 | INFO | utils.logger:step:86 | 🔸 STEP: Clicking signup button
2025-09-13 15:59:18 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 15:59:23 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 15:59:23 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying signup page loaded
2025-09-13 15:59:23 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 15:59:23 | INFO | utils.logger:step:86 | 🔸 STEP: Completing registration for user: 柳
2025-09-13 15:59:23 | INFO | utils.logger:step:86 | 🔸 STEP: Selecting title: Mr
