2025-09-13 16:51:54 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_registration_and_login_flow
2025-09-13 16:51:54 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 16:52:00 | INFO | utils.logger:data_operation:129 | 📊 Data Operation: Generated test user data (User)
2025-09-13 16:52:07 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 16:52:07 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/login'
2025-09-13 16:52:07 | INFO | utils.logger:step:86 | 🔸 STEP: Opened login page
2025-09-13 16:52:07 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying login page loaded
2025-09-13 16:52:07 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 16:52:08 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 16:52:08 | INFO | utils.logger:step:86 | 🔸 STEP: Signing up new user: Jeremy Murphy
2025-09-13 16:52:08 | INFO | utils.logger:step:86 | 🔸 STEP: Filling signup form with name: Jeremy Murphy, email: michellewilliams@example.net
2025-09-13 16:52:08 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-name']''
2025-09-13 16:52:08 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-name']' text='Jeremy Murphy''
2025-09-13 16:52:08 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'xpath='//input[@data-qa='signup-email']''
2025-09-13 16:52:08 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'xpath='//input[@data-qa='signup-email']' text='michellewilliams@example.net''
2025-09-13 16:52:08 | INFO | utils.logger:step:86 | 🔸 STEP: Clicking signup button
2025-09-13 16:52:08 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 16:52:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'xpath='//button[@data-qa='signup-button']''
2025-09-13 16:52:12 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying signup page loaded
2025-09-13 16:52:12 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'visible'
2025-09-13 16:52:12 | INFO | utils.logger:step:86 | 🔸 STEP: Completing registration for user: Jeremy
2025-09-13 16:52:12 | INFO | utils.logger:step:86 | 🔸 STEP: Selecting title: Mr
2025-09-13 16:52:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element clickable on 'id='id_gender1''
2025-09-13 16:52:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Clicked element on 'id='id_gender1''
2025-09-13 16:52:12 | INFO | utils.logger:step:86 | 🔸 STEP: Filling account information
2025-09-13 16:52:12 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='password''
2025-09-13 16:52:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Sent keys on 'id='password' text='MqVscDC*_3wT''
2025-09-13 16:52:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='days''
2025-09-13 16:52:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='days' value='1''
2025-09-13 16:52:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Element visible on 'id='months''
2025-09-13 16:52:13 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Selected dropdown on 'id='months' text='January''
