2025-09-13 15:49:44 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_cart_page_loads
2025-09-13 15:49:44 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:49:59 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 15:49:59 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/view_cart'
2025-09-13 15:49:59 | INFO | utils.logger:step:86 | 🔸 STEP: Opened cart page
2025-09-13 15:49:59 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying cart page loaded
2025-09-13 15:50:09 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'not visible'
2025-09-13 15:50:20 | INFO | utils.logger:assertion:109 | 🔍 Assertion: Element visibility | Expected: 'visible' | Actual: 'not visible'
2025-09-13 15:50:20 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Took screenshot on 'reports/screenshots/购物车页面_load_failed.png'
2025-09-13 15:50:20 | ERROR | utils.logger:error:74 | 购物车页面页面加载失败
2025-09-13 15:50:20 | INFO | utils.logger:info:62 | 关闭浏览器
2025-09-13 15:50:23 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_cart_page_loads - COMPLETED (38.41s)
2025-09-13 15:50:26 | INFO | utils.logger:test_start:113 | 🚀 Test Started: test_cart_page_loads
2025-09-13 15:50:26 | INFO | utils.logger:info:62 | 启动 chrome 浏览器，headless模式: False
2025-09-13 15:50:36 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Page loaded
2025-09-13 15:50:36 | INFO | utils.logger:page_action:105 | 🔄 Page Action: Opened page on 'https://automationexercise.com/view_cart'
2025-09-13 15:50:36 | INFO | utils.logger:step:86 | 🔸 STEP: Opened cart page
2025-09-13 15:50:36 | INFO | utils.logger:step:86 | 🔸 STEP: Verifying cart page loaded
2025-09-13 15:51:12 | INFO | utils.logger:info:62 | 关闭浏览器
2025-09-13 15:51:32 | INFO | utils.logger:test_end:119 | ⏭️ Test Finished: test_cart_page_loads - COMPLETED (66.65s)
